time,RLQRD_state_norm,LQR_state_norm,RLQR_state_norm,Hinf_state_norm,AEM_state_norm,RLQRD_input_norm,LQR_input_norm,RLQR_input_norm,Hinf_input_norm,AEM_input_norm,disturbance_norm
0.27,0.0012901786735216095,4.697330307101064e-05,4.6979245938125746e-05,4.697765705963401e-05,6.037090245894941e-06,3.7559648438334805,4.1545320137106965e-05,0.00016120875115236566,9.482957530484834e-08,0.3010165562851963,6.649828477186977e-06
0.28,0.001357589130460393,5.360929299453609e-05,5.3615659026533324e-05,5.361483909032749e-05,6.665992066348992e-06,3.8477021625215793,4.7188551372928254e-05,0.00018389823943244392,1.0712401301186719e-07,0.3323714051911361,7.317700461743787e-06
0.29,0.0014261226117465405,6.0911734036221996e-05,6.0918400146473954e-05,6.0918745543799767e-05,7.335598417591024e-06,3.9394550681516325,5.336072230927048e-05,0.0002088219523988964,1.2052784107236444e-07,0.36575545281534866,8.027256222897116e-06
0.3,0.001495735674098186,6.892220540402632e-05,6.892899687689955e-05,6.89310060430642e-05,8.047004017546249e-06,4.03121187634087,6.009007918929041e-05,0.00023611070136776325,1.351020479377355e-07,0.4012232696212335,8.779567048379687e-06
0.31,0.0015663833615626591,7.768334941176944e-05,7.769003016335393e-05,7.769432038291717e-05,8.801283316032226e-06,4.12296196110182,6.74051668985452e-05,0.00026589775566052484,1.509090427875354e-07,0.4388284157856676,9.57568353344077e-06
0.32,0.0016380192540530452,8.723884998317618e-05,8.72451117705695e-05,8.725243771933544e-05,9.599490010700706e-06,4.214695639259973,7.533479448235837e-05,0.0002983187417749937,1.680126342522358e-07,0.4786234170561818,1.041663511383316e-05
0.33,0.0017105955140188755,9.7633410654476e-05,9.763886117880561e-05,9.765013529505037e-05,1.044265657886174e-05,4.306404069437679,8.390800086656861e-05,0.00033351154297356936,1.8647800764916492e-07,0.5206597414016109,1.1303429613575707e-05
0.34,0.0017840629315015594,0.00010891273209020743,0.0001089168819386976,0.00010893319671633994,1.1331793824098563e-05,4.398079163541497,9.315402079882846e-05,0.00037161619929266046,2.063717008282054e-07,0.564987776401537,1.2237052806612871e-05
0.35000000000000003,0.0018583709677959471,0.00012112348912594116,0.00012112573749854657,0.0001211483897951032,1.2267890436796006e-05,4.489713509012058,0.00010310225102646234,0.0004127748079770955,2.2776157871647484e-07,0.6116568073305805,1.3218467991664223e-05
0.36,0.0019334677979135106,0.0001343133073509,0.00013431292651733357,0.000134343443969498,1.3251912567876777e-05,4.5813003003627975,0.0001137822167259134,0.0004571314243433658,2.5071680664441977e-07,0.6607149959021675,1.4248615579695882e-05
