time,RLQRD_state_norm,LQR_state_norm,RLQR_state_norm,Hinf_state_norm,AEM_state_norm,RLQRD_input_norm,LQR_input_norm,RLQR_input_norm,Hinf_input_norm,AEM_input_norm,disturbance_norm
0.1,0.00037334311313164803,4.624899139725893e-05,4.6255653602867396e-05,4.6250802114897986e-05,5.738776828098909e-06,2.2197017038360003,4.3032202098447986e-05,0.0001399947101779688,1.3230730754161928e-07,0.2862316559241599,5.4520212337093764e-06
0.11,0.00041973744714126764,5.164911320536259e-05,5.16570351355014e-05,5.165152496572539e-05,5.854928174534836e-06,2.3071997318779185,4.7681622858634854e-05,0.00015695518216047078,1.4545445754146355e-07,0.29201399697137,5.53968472923821e-06
0.12,0.0004678038529111314,5.7132168259945854e-05,5.714131512920101e-05,5.713535047947329e-05,5.950936365143279e-06,2.3953509397489663,5.232280075273164e-05,0.00017415805825205788,1.584776462202641e-07,0.29679237866930064,5.606808543753958e-06
0.13,0.0005175355785132239,6.267806733091943e-05,6.268833790273993e-05,6.268222905203706e-05,6.024976936337973e-06,2.4840679657754268,5.6934130086617463e-05,0.00019151492406810475,1.7134478337745158e-07,0.3004758357199075,5.651742783083989e-06
0.14,0.0005689225504082207,6.826508594192095e-05,6.8276302540274e-05,6.82704812125692e-05,6.075271563914808e-06,2.5732751219392425,6.14929912383287e-05,0.00020893326866408633,1.840221686609913e-07,0.30297570318308875,5.672876363347278e-06
0.15,0.0006219515574941173,7.386989482084259e-05,7.38817933542073e-05,7.387682809589885e-05,6.1000839478470894e-06,2.662906600155027,6.597580749205778e-05,0.00022631661096283564,1.9647447022530494e-07,0.3042054115189273,5.6686339200713384e-06
0.16,0.0006766064181598236,7.94675902560126e-05,7.947981033179253e-05,7.947642177965539e-05,6.097716433125077e-06,2.752904981148711,7.035810229715715e-05,0.00024356462914249593,2.086647094846238e-07,0.3040803183132472,5.637473286463554e-06
0.17,0.0007328681320595888,8.503172436643606e-05,8.504379957523198e-05,8.504287549331873e-05,6.066507252533642e-06,2.843219992147234,7.461455724273446e-05,0.0002605732937830118,2.2055425198826485e-07,0.3025175709492363,5.57788344948261e-06
0.18,0.0007907150182092701,9.053433534426951e-05,9.054568379564913e-05,9.054829375570322e-05,6.004828291459845e-06,2.9338074691691354,7.871907113604404e-05,0.00027723500577925427,2.321028044936572e-07,0.29943599524640246,5.488382905330765e-06
0.19,0.0008501228408809527,9.594597777035871e-05,9.595589296487407e-05,9.59633025395054e-05,5.911083289008437e-06,3.0246284877306415,8.264482069196239e-05,0.0002934387403073622,2.4326841838022426e-07,0.29475600580669137,5.367518347987622e-06
0.2,0.0009110649246453705,0.00010123575314319848,0.0001012433952695864,0.00010125707960045497,5.783706402831588e-06,3.1156486324129364,8.636432349257499e-05,0.00030907019850191184,2.540074996365368e-07,0.2883995344619661,5.213863635036993e-06
0.21,0.0009735122597866996,0.00010637134080199627,0.0001063757285539968,0.00010639738514817303,5.621161076715138e-06,3.2068373811687567,8.98495040753561e-05,0.0003240119689995785,2.642748257701324e-07,0.280289973794371,5.026018984210721e-06
0.22,0.0010374335991947445,0.0001113190294698095,0.00011131903248421781,0.00011135059308016015,5.421939160005735e-06,3.2981675846730893,9.307176427656939e-05,0.00033814370217936213,2.7402357014184794e-07,0.27035213319885626,4.802610361854119e-06
0.23,0.001102795547727199,0.00011604374969779832,0.00011603808172476507,0.00011608172305413328,5.184560236483198e-06,3.3896150246188186,9.600205932332759e-05,0.00035134230085154353,2.8320533442524063e-07,0.2585122053795197,4.542289031046556e-06
0.24,0.0011695626449305394,0.00012050910756252206,0.00012049632049151022,0.00012055447374309205,4.907571127432962e-06,3.481158037775254,9.861098167697184e-05,0.00036348213242179086,2.9177019015173026e-07,0.24469774152600896,4.243731232549109e-06
0.25,0.001237697441912646,0.0001246774200629192,0.00012465589894424098,0.00012473125770983358,4.589545539633094e-06,3.5727771949932468,0.00010086885534707148,0.0003744352693381161,2.9966673064455447e-07,0.22883763371174237,3.905637976261326e-06
0.26,0.001307160573073409,0.00012850975279331842,0.00012847771201744893,0.00012857323846402055,4.229083833921835e-06,3.6644550262604234,0.00010274584441765061,0.00038407176714968367,3.0684213509922957e-07,0.2108621033008549,3.526734924599872e-06
0.27,0.0013779108233211005,0.00013196596064962842,0.0001319214414769309,0.00013204037044098704,3.824812894132378e-06,3.756175784469881,0.00010421208100621162,0.0003922599931234842,3.1324224717726506e-07,0.19070269435365114,3.105772352292393e-06
0.28,0.0014499051913317222,0.00013500473258156408,0.0001349456022572433,0.000135091442890373,3.3753860796548606e-06,3.8479252418353624,0.00010523782004780106,0.0003988670236296355,3.1881167130422417e-07,0.16829227118795073,2.6415251696250444e-06
0.29,0.0015230989493453288,0.00013758364177041905,0.00013750759451883977,0.0001376841290193695,2.879483247979622e-06,3.939690513921394,0.00010579363153647844,0.00040375913629030566,3.234938909912291e-07,0.14356501939240307,2.1327929982841427e-06
0.3,0.0015974456999368874,0.00013965920314507776,0.00013956376342231532,0.00013977504225372788,2.335810836975683e-06,4.031459907103466,0.0001058506457745891,0.00040680243459375893,3.272314150606086e-07,0.11645644970319276,1.578400290670051e-06
0.31,0.0016728974301489458,0.00014118694093617177,0.00014106946944270787,0.0001413198022444901,1.743102003550112e-06,4.1232227859671555,0.00010538087478505002,0.0004078636606073912,3.299659598450985e-07,0.08690340425472941,9.771964850021921e-07
