time,RLQRD_state_norm,LQR_state_norm,RLQR_state_norm,Hinf_state_norm,AEM_state_norm,RLQRD_input_norm,LQR_input_norm,RLQR_input_norm,Hinf_input_norm,AEM_input_norm,disturbance_norm
0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623729215,0.0,0.0,0.0,0.0,3.84666088965482e-06
0.01,2.6360940802630785e-05,3.84666088965482e-06,3.84666088965482e-06,3.84666088965482e-06,3.84666088965482e-06,1.485514296628503,3.8068704086877354e-06,1.0661936959552693e-05,1.2948463238778436e-08,0.1919785629503845,4.043912814978833e-06
0.02,5.4031502487060883e-05,7.888183988415852e-06,7.888338625120111e-06,7.88822397766368e-06,3.790333887579147e-06,1.5597562275200196,7.76066128145929e-06,2.221967192705626e-05,2.6038125910093347e-08,0.18915004353637457,4.2566600141417106e-06
0.03,8.304794800023598e-05,1.2138440126425165e-05,1.2138922606239844e-05,1.2138555937748197e-05,4.007058576548888e-06,1.6365112147710048,1.1868763363713194e-05,3.468223408639147e-05,3.929893058672658e-08,0.19994136492958275,4.484811301621787e-06
0.04,0.00011344090859884503,1.661169256978361e-05,1.6612689858422255e-05,1.6611918820529075e-05,4.22124468011999e-06,1.715415417369681,1.613896850777851e-05,4.8063986536989074e-05,5.276138949260897e-08,0.2106106570772772,4.728503647281025e-06
0.05,0.00014523575951714044,2.1322710722707537e-05,2.1324418003278195e-05,2.1323084208799902e-05,4.451128149758901e-06,1.7961603410968114,2.057955167327417e-05,6.238451681592391e-05,6.645665460499308e-08,0.22206416716802208,4.988063786717625e-06
0.06,0.00017845297476207426,2.628686828888162e-05,2.6289482763696964e-05,2.6287431798889244e-05,4.695848004254e-06,1.8784845350448234,2.5199336367668105e-05,7.766852623820604e-05,8.041658421416784e-08,0.2342582813498716,5.263974718298674e-06
0.07,0.00021310845855828417,3.152022754171481e-05,3.152394163806877e-05,3.1521034065424945e-05,4.955945393275195e-06,1.9621662209598458,3.000774596578242e-05,9.394571847833284e-05,9.467380592582042e-08,0.24721969504965347,5.556847164543832e-06
0.08,0.00024921385236815997,3.7039611255014346e-05,3.70446052821141e-05,3.704072856763914e-05,5.231996745283024e-06,2.047016927026076,3.501484300140187e-05,0.00011125068772740665,1.0926177609504113e-07,0.2609770236858962,5.867395628695808e-06
0.09,0.00028677681743149406,4.286266372073463e-05,4.286909801373445e-05,4.286417932957184e-05,5.52467969888318e-06,2.1328760840783683,4.023135821617625e-05,0.00012962280669815484,1.2421483568293057e-07,0.27556398091881384,6.196418489296047e-06
0.1,0.0003258012934819141,4.9007902144493684e-05,4.901590872194824e-05,4.900992858974417e-05,5.834749116025832e-06,2.2196064890376674,4.5668710881399364e-05,0.00014910611470459777,1.39568262527623e-07,0.29101814904100315,6.544781533043953e-06
0.11,0.0003662877347712062,5.54947595727389e-05,5.550443332555727e-05,5.549744007835465e-05,6.163022231057105e-06,2.307090521975083,5.13390216753357e-05,0.00016974920600741755,1.5535832002205446e-07,0.3073802276288083,6.913404357969854e-06
0.12,0.000408233324825056,6.234362037418045e-05,6.23550097970987e-05,6.234713484819681e-05,6.510366027656819e-06,2.3952270034911964,5.7255119199607575e-05,0.000191605118586284,1.7162230219165013e-07,0.32469340077235587,7.303249143182511e-06
0.13,0.0004516321715115248,6.957584917605881e-05,6.958894664655845e-05,6.958042056296004e-05,6.8776868251139625e-06,2.4839285884129514,6.34305410492345e-05,0.00021473122347408173,1.883985751668406e-07,0.34300281680322925,7.715311355144395e-06
0.14,0.000496475484064086,7.721381404476468e-05,7.722854564907039e-05,7.721971503513712e-05,7.265921656022293e-06,2.573119604683515,6.98795302085834e-05,0.00023918911476379385,2.0572661504837866e-07,0.3623551580309312,8.150612031879305e-06
0.15,0.0005427517336933502,8.528090460084381e-05,8.529711950198741e-05,8.528846470596487e-05,7.676031106806144e-06,2.6627342598095725,7.661702742620199e-05,0.00026504450037604456,2.2364704216809256e-07,0.38279828359190715,8.610191350503475e-06
0.16,0.0005904467993679159,9.380154567027359e-05,9.381900500909134e-05,9.38111586714335e-05,8.108993348190122e-06,2.7527151498817073,8.365866012197994e-05,0.0002923670936537518,2.4220165175413624e-07,0.40438093165865496,9.095103238279125e-06
0.17,0.000639544100261717,0.0001028012069964146,0.00010281957231265357,0.000102813338780723,8.565799133253005e-06,2.8430120173814366,9.102072829733575e-05,0.00032123050583002027,2.6143344101797427e-07,0.42715246988875566,9.60641083308881e-06
0.18,0.0006900247162649951,0.00011230640946929939,0.00011232523062667126,0.00011232160626553026,9.047447583023448e-06,2.933580713568582,9.872018785051248e-05,0.00035171213939650666,2.8138663269015865e-07,0.4511626851354422,1.0145182636690948e-05
0.19,0.0007418674978473982,0.00012234472826990912,0.00012236343086588898,0.00012236362529961477,9.554942614342797e-06,3.0243823292669063,0.00010677463164226272,0.00038389308238224524,3.02106695043179e-07,0.47646160518168656,1.0712489234501772e-05
0.2,0.0007950491664508022,0.00013294479327578902,0.00013296266551417123,0.00013296812383648937,1.0089289892927554e-05,3.1153824644965726,0.00011520226861019492,0.000417858003537609,3.236403584519739e-07,0.5030993466660095,1.1309400480128895e-05
0.21,0.0008495444064804995,0.00014413628702980336,0.00014415246603146782,0.00014416489202854363,1.0651494217283714e-05,3.206550612833995,0.00012402190119111363,0.00045369504840487814,3.460356285557125e-07,0.5311259844993824,1.1936983062530286e-05
0.22,0.0009053259498590537,0.0001559499405351472,0.00015596339806013546,0.00015598477849212503,1.1242557257353303e-05,3.2978596408058705,0.00013325290127833556,0.0004914957362459611,3.6934179609774723e-07,0.5605914389798734,1.2596298389414342e-05
0.23,0.0009623646540090964,0.00016841752710612911,0.00016842705465796917,0.0001684596846494262,1.1863475586372103e-05,3.3892853462198973,0.0001429151849139633,0.000531354857789209,3.9360944353379644e-07,0.591545377538433,1.3288400733101898e-05
0.24,0.0010206295740404737,0.00018157185447502554,0.00018157604775626964,0.00018162255734874275,1.2515238956103293e-05,3.480806082251515,0.00015302918589341056,0.0005733703737509676,4.188904485109941e-07,0.6240371286310824,1.4014335595172933e-05
0.25,0.0010800880298338458,0.0001954467553298919,0.00019544399801603397,0.00019550737993917765,1.3198828774974872e-05,3.572402436471491,0.00016361582844023981,0.0006176433140834245,4.452379843320819e-07,0.6581156057591534,1.4775138254324772e-05
0.26,0.0011407056686370564,0.00021007707643607917,0.00021006552323339916,0.00021014916195366272,1.3915216756158434e-05,3.664056955918815,0.00017469649909289766,0.0006642776778982592,4.727065175293529e-07,0.6938292399733738,1.557183246838424e-05
0.27,0.0012024465237221182,0.0002254986664749177,0.0002254762254263532,0.00022558392753480662,1.4665363708664304e-05,3.755753910883042,0.00018629301793065688,0.0007133803340153831,5.013518026817449e-07,0.7312259195184944,1.6405429306666347e-05
0.28,0.0012652730695890632,0.00024174836271621553,0.00024171267671808586,0.00024184870272119245,1.545021844939212e-05,3.84747909132969,0.00019842760925355114,0.000765060922087408,5.312308746154936e-07,0.7703529355176232,1.7276926093112633e-05
0.29,0.0013291462741477512,0.0002588639766265631,0.0002588124041178626,0.00025898150169701713,1.627071681800467e-05,3.9392196309377474,0.000211122871819971,0.0008194317542531257,5.624020381338903e-07,0.8112569327913248,1.818730544407838e-05
0.3,0.0013940256482594833,0.00027688427850266535,0.0002768138732876986,0.0002770213120951209,1.7127780779676255e-05,4.0309638545647575,0.0002244017487356229,0.000876607717276945,5.94924855424873e-07,0.8539838650653111,1.9137534387429418e-05
